date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:24	103/103	---M--	200	added ('OK')	text/plain	date:Sun,%2004%20Dec%202022%2007:04:51%20GMT	https://dongyi.hk/robots.txt		(from )
21:14:25	196626/196626	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2015:14:33%20GMT	https://dongyi.hk/	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/index.html	(from )
21:14:25	120593/120593	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Nov%202022%2005:31:00%20GMT	https://dongyi.hk/wp-content/uploads/2022/11/aboutus_636494f5613e43.486537401667536117.png	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/uploads/2022/11/aboutus_636494f5613e43.486537401667536117.png	(from https://dongyi.hk/)
21:14:25	110147/110147	---M-Z	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2003:36:14%20GMT	https://dongyi.hk/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-includes/css/dist/block-library/style.min84fc.css	(from https://dongyi.hk/)
21:14:26	36/36	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Aug%202023%2012:07:28%20GMT	https://dongyi.hk/wp-content/plugins/agile-store-locator/public/css/init.css?ver=4.9.13	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/plugins/agile-store-locator/public/css/initc8f9.css	(from https://dongyi.hk/)
21:14:26	17688/17688	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2002:37:02%20GMT	https://dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.6.1	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9b80.css	(from https://dongyi.hk/)
21:14:26	7043/7043	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2002:37:02%20GMT	https://dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.6.1	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9b80.css	(from https://dongyi.hk/)
21:14:26	75125/75125	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2002:37:02%20GMT	https://dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.6.1	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/plugins/woocommerce/assets/css/woocommerce9b80.css	(from https://dongyi.hk/)
21:14:26	38599/38599	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Jul%202024%2009:32:36%20GMT	https://dongyi.hk/wp-content/plugins/wp-job-openings/assets/css/general.min.css?ver=3.4.6	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/wp-content/plugins/wp-job-openings/assets/css/general.min9bf7.css	(from https://dongyi.hk/)
21:14:27	66980/66980	---MC-	200	added ('OK')	application/rss+xml	etag:%22c8210fd89827212179a07d1268d79a8a%22	https://dongyi.hk/feed/	C:/My%20Web%20Sites/https___dongyi.hk_/dongyi.hk/feed/index.html	(from https://dongyi.hk/)
